name,ilosc_patentow
KLUS SYLWESTER,51
WYSOCKI ARKADIUSZ,28
ZAREBSKI ADRIAN,17
STASICKI BOLESLAW,22
GRZYMEK JERZY,16
MROWIEC JACEK,24
GRAJEK TOMASZ,23
STREK WIESLAW,33
LEMKE KRZYSZTOF,23
CZAJA WOJCIECH,17
PACHOLSKI JAN,22
WOJCICKI TOMASZ,18
MYSZKOWSKI KAROL,33
TETERWAK JERZY,28
PUTYRSKI SLAWOMIR,38
KLIMASZEWSKI KRZYSZTOF,25
LOJKOWSKI WITOLD,20
MALECKI BARTLOMIEJ,55
KASZYNSKI MARCIN,14
KMIECIK MARCIN,71
GRZYBOWSKI MAREK,23
KUROS PAWEL,47
STACHURA DARIUSZ,18
ROGUT JAN,15
GOZDZIEWICZ ZYGMUNT,17
KESIK-BRODACKA MALGORZATA,16
RUDZINSKI PAWEL,14
SMIGLAK MARCIN,23
BANAS ANTONI,47
MORGOS MARCIN,15
KAMINSKI ANDRZEJ,39
DRUZDZEL ARKADIUSZ,25
ZWIEGINCEW ARTHUR,36
KACZYNSKI ZBIGNIEW,18
ANDERSSON ERIK,28
AL-NEDAWI KHALID,19
ZALEWSKI WOJCIECH,23
MIATKOWSKI KONRAD,19
MAKARCZYK PIOTR,26
PERLIN PIOTR,22
DUTKIEWICZ MICHAL,16
KARWOWSKI DAMIAN,15
FISCHER EVZEN,24
NAPIERALA MAREK,28
RUSZKOWSKI PIOTR,24
WYSOCKI ZYGMUNT,17
GORSKI ANDRZEJ,56
MAZUR ADAM,23
PAWLIK KATARZYNA,23
SADO KRZYSZTOF,29
VENKATASUBRAMANIAN VENKATKUMAR,31
MASTERNAK KRZYSZTOF,60
KLOSIN JERZY,297
KAMINSKI JACEK,39
MULLER LUTZ,15
WISNIEWSKI PAWEL,38
SURAZSKI JACEK,25
GARSTECKI PIOTR,66
GORNA KATARZYNA,41
PLATEK ROBERT,31
SWEDEK BOGUSLAW,402
JANKOWSKI ANDRZEJ,64
KEMPA KRZYSZTOF,27
KRZYCH JAKUB,41
SZREK WALTER,46
BURCHARD ARTUR,102
RAUBO PIOTR,37
BORATYNSKI JANUSZ,16
WOJCIECHOWSKI KRZYSZTOF,45
ANDRUSZKIEWICZ RYSZARD,35
LONIEWSKI GRZEGORZ,15
CZAINSKI ROBERT,229
LIPINSKI TOMASZ,26
BARCZYK TOMASZ,29
KONIECZNY JACEK,51
DUDEK HENRYK,24
BURGHARDT THOMAS,43
MILEWSKI SLAWOMIR,16
TAKALA SEPPO,43
KANSKI JAROSLAW,65
PIECZYKOLAN JERZY,49
SZUFARSKA AGNIESZKA,48
CHMIEL MIESZKO,163
SOKOLOWSKI JANUSZ,21
STEC PIOTR,91
KAMINSKI TOMASZ,40
KIELBOWICZ STANISLAW,48
TOMALA MALGORZATA,76
LITWIN DARIUSZ,17
LEYTEN LUKAS,67
PRZEWLOKA TERESA,155
SLUPIK SZYMON,41
STANKIEWICZ ZOFIA,20
LAMPARSKA-PRZYBYSZ MONIKA,22
DABROS MARTA,25
JURCZYK KRZYSZTOF,22
STASIAK MARCIN,90
MARTYNOW JACEK,14
ZIELINSKI JAN,57
FIEDLER MACIEJ,35
LIPKOWSKI ANDRZEJ,80
MOREUX FREDERIC,78
PAWLAK SEBASTIAN,48
NOWAK MATEUSZ,23
KRYGLER ALICJA,15
CHMIELEWSKI RADOSLAW,23
POLACZEK JERZY,37
PRZYBYSZ LUKASZ,22
FIGLEROWICZ MAREK,17
SZELEJEWSKI WIESLAW,83
WOJDAS PAWEL,15
BIGDA JACEK,22
YAVER ALI,17
PIORO KRZYSZTOF,14
PARYS ROMAN,24
NALEWA TOMASZ,22
SWIECH LUKASZ,30
WYGNANSKI WLADYSLAW,96
PAWLOWSKI LUCJAN,25
OSTROWSKI LUKASZ,24
STALA ROBERT,16
TRZECIESKI MICHAEL,24
BARTKOWIAK ARTUR,26
KOLLAR MARTIN,27
LINDBERG HENRIK,37
ORZEL WOJCIECH,25
KOZLOWSKI TOMASZ,14
RAK JANUSZ,22
TABOROWSKI LUKASZ,22
VAN BRONKHORST,15
BLASIAK WLODZIMIERZ,15
FRONCISZ WOJCIECH,20
WOREK CEZARY,34
PISKORZ IRENEUSZ,14
KOWNACKI IRENEUSZ,31
SIERON ALEKSANDER,25
SEKULA ROBERT,16
KOSTRZEWA MICHAEL,36
SZOSTAK JAN,36
IGNASIAK TOMASZ,15
KLEJC ADRIAN,24
LACHOWSKI JAROSLAW,30
MANIKOWSKI ANDRZEJ,17
STEC WOJCIECH,54
ADAMCZYK DARIUSZ,17
ROZGA PIOTR,29
RUTYNOWSKI WLODZIMIERZ,23
KRUSZEWSKA DANUTA,17
SALON ARTUR,16
BAJRASZEWSKI TOMASZ,40
KWIATKOWSKI MAREK,89
TOLPA STANISLAW,25
STEINDER MALGORZATA,86
KOWALSKA JOANNA,26
BIELINSKA ANNA,33
ORLEWSKI PIERRE,87
LEWANDOWSKI DARIUSZ,30
PUSZ GRZEGORZ,46
KWASNY SLAWOMIR,18
GRABOWSKI ADAM,18
BRZOSTOWSKA MALGARZOTA,15
MACIEJEWSKI MAREK,20
ZENFTMAN HENRYK,60
HANDEREK ADAM,36
KRZYMIEN LUKASZ,65
MARASEK KRZYSZTOF,45
MALKOWSKI ZENON,18
KUTNER ANDRZEJ,89
KOZLOWSKI FRYDERYK,16
SERGIEL PRZEMYSLAW,17
STRUS MAGDALENA,23
SZYMANSKI SLAWOMIR,37
OSTROWSKI MICHAL,54
WNUKOWSKI PIOTR,33
KUKLA RYSZARD,23
WARZANSKYJ GARCIA,33
BENTLEY DOUG,14
BUCKI ADAM,30
PIERZYNOWSKI STEFAN,65
WIATR MACIEJ,126
WISNIEWSKI JAN,26
GRAJKOWSKI ANDRZEJ,19
KUCHARSKI MAREK,18
NOVAK MIROSLAV,59
FISCHER HERWIG,113
KOZLOWSKI WLADYSLAW,20
MACKIEWICZ ANDRZEJ,19
WOZNIAK LUCYNA,18
SZADKOWSKI STANISLAV,82
WEGRZYN GRZEGORZ,17
OZIMEK PAWEL,31
NOWICKI KACPER,20
KONSTANCZAK MAREK,28
DLUGOLECKI PIOTR,33
BICZ WIESLAW,37
JANOWICZ ZBIGNIEW,19
DUTKIEWICZ JACEK,48
ZEGROCKA-STENDEL OLIWIA,33
ROZKIEWICZ DOROTA,16
CZARNUL ZDZISLAW,19
KOWALSKI MARCIN,18
SKRUDLIK ADAM,15
GROCHOWINA MARCIN,18
GERSZ TADEUSZ,24
PAWLOWSKI ARTUR,19
CISZEWSKI LECH,49
STRUSZCZYK HENRYK,92
MANTIUK RAFAL,40
DABEK MAREK,35
KAMINSKI KRZYSZTOF,23
MACHT LUKASZ,26
OLEKSYSZYN JOZEF,17
ZADECKI WIESLAW,17
BOCK ROBERT,19
WOJCIECHOWSKI MAREK,24
ADAMEK TOMASZ,22
DABROWA ANDRZEJ,27
NOWAK JAN,14
NOWAK TOMASZ,28
CZEREPINSKI PRZEMYSLAW,32
SZCZUBIALKA KRZYSZTOF,34
JUNAK JACEK,47
BOWERS JOHN,16
GEBOREK MARIUSZ,20
PIOTROWSKI KRZYSZTOF,18
SULEJ AGATA,19
JAROSZ WOJCIECH,41
WITCZAK MARCIN,14
BURY IZABELA,21
ZAJDEL PAWEL,19
LAGIEWKA PRZEMYSLAW,34
SZEWCZYK MARCIN,17
SOKOLOWSKA IWONA,19
STANKOWSKI JAKUB,21
SCHWARZ DOUGLAS,17
MICHALSKI JAN,15
NOWOTNY MARCIN,14
DZIADUSZEK JERZY,18
DZIEWISZEK WOJCIECH,17
DIDYK PIOTR,20
PIKUL BARTLOMIEJ,14
GORECKI PIOTR,25
KOWALSKI ADAM,15
TOKARZ ADAM,20
